Plot,Subplot,Species,Tag_number,FullExpTrt,PlantGMTrt,ExpSoilSource,ExpFungSource,pots,color_original,color_updated,barcodes
6,8,Mai,5009,PlantW-SoilNW-FungW,W,NW,W,1,pink,pink,5009_Mai_pink
7,20,Mai,5015,PlantW-SoilW-FungNW,W,W,NW,1,orange,orange,5015_Mai_orange
6,11,Mai,5025,PlantNW-SoilNW-FungW,NW,NW,W,3,white,white,5025_Mai_white
3,24,Mai,5030,PlantNW-SoilW-FungW,NW,W,W,2,purple,purple,5030_Mai_purple
6,28,Tri,5031,PlantNW-SoilNW-FungW,NW,NW,W,1,white,white,5031_Tri_white
4,20,Tri,5040,PlantW-SoilW-FungNW,W,W,NW,1,orange,orange,5040_Tri_orange
5,36,Mai,5052,PlantNW-SoilW-FungW,NW,W,W,1,purple,purple,5052_Mai_purple
6,27,Tri,5060,PlantW-SoilW-FungWsterile,W,W,Wsterile,1,red_blue,red_blue,5060_Tri_red_blue
3,24,Mai,5069,PlantNW-SoilW-FungNW,NW,W,NW,1,green,green,5069_Mai_green
7,20,Mai,5073,PlantW-SoilNW-FungNW,W,NW,NW,2,yellow,yellow,5073_Mai_yellow
4,25,Mai,5074,PlantW-SoilW-FungW,W,W,W,2,red,red,5074_Mai_red
7,20,Mai,5077,PlantW-SoilNW-FungNWsterile,W,NW,NWsterile,1,yellow_blue,yellow_blue,5077_Mai_yellow_blue
3,8,Mai,5105,PlantW-SoilW-FungNW,W,W,NW,3,orange,orange,5105_Mai_orange
5,19,Tri,5115,PlantW-SoilNW-FungW,W,NW,W,1,pink,pink,5115_Tri_pink
6,2,Mai,5122,PlantW-SoilW-FungW,W,W,W,3,red,red,5122_Mai_red
6,32,Mai,5178,PlantW-SoilW-FungW,W,W,W,1,red,red,5178_Mai_red
3,13,Mai,5184,PlantW-SoilW-FungW,W,W,W,3,red,red,5184_Mai_red
5,19,Tri,5228,PlantW-SoilW-FungW,W,W,W,1,red,red,5228_Tri_red
6,2,Tri,5267,PlantW-SoilNW-FungW,W,NW,W,1,pink,pink,5267_Tri_pink
5,10,Tri,5381,PlantNW-SoilNW-FungWsterile,NW,NW,Wsterile,1,white_blue,white_blue,5381_Tri_white_blue
6,6,Tri,5403,PlantNW-SoilNW-FungW,NW,NW,W,1,white,white,5403_Tri_white
3,3,Tri,5436,PlantW-SoilW-FungNW,W,W,NW,1,orange,orange,5436_Tri_orange
3,1,Tri,5488,PlantW-SoilNW-FungNWsterile,W,NW,NWsterile,1,yellow_blue,yellow_blue,5488_Tri_yellow_blue
6,36,Mai,5504,PlantNW-SoilW-FungW,NW,W,W,1,purple,purple,5504_Mai_purple
6,21,Mai,5506,PlantW-SoilW-FungNW,W,W,NW,3,orange,orange,5506_Mai_orange
